Disposition,Orbital Period,Transit Duration,Transit Depth,Planet Radius,Star Eff. Temp,Stellar log,Star Radius
Planet Candidate,1.9142544,3.2560000,248.0000000,2.0442100,6734.0000000,4.1858200,1.5900000
Confirmed Planet,5.0780325,1.2100353,5923.1283069,2.6347763,3318.0000000,4.9581000,0.3341250
Planet Candidate,70.3607265,1.0325441,1353.9678246,8.2807306,6308.0000000,3.9867900,2.0982201
Confirmed Planet,91.6827832,9.7504857,713.2183569,3.2398550,5802.0000000,4.4452100,1.0181400
Planet Candidate,10.1944993,2.2648785,317.3261147,2.7392825,6082.0000000,4.3328700,1.3266100
False Positive,14.6431900,2.5483426,242.7923919,3.4124800,6516.0000000,3.9936600,2.0417800
Confirmed Planet,4.1782656,1.6759040,2537.6781602,2.1023854,3442.0000000,4.8930000,0.4044030
Confirmed Planet,17.9453645,3.0740072,5480.6848640,3.3839124,3442.0000000,4.8930000,0.4044030
Planet Candidate,13.8963960,3.5885605,748.5332881,2.4586343,5522.8700000,4.6715600,0.8881630
Planet Candidate,8.1213102,3.1040945,594.6443745,2.3157186,5522.8700000,4.6715600,0.8881630
Planet Candidate,3.9287851,1.8165271,485.9762569,2.3292790,5668.1500000,4.5257300,0.9869430
Confirmed Planet,27.3613778,4.0586418,20690.6684294,6.4522449,3050.0000000,4.4380000,0.4412800
Confirmed Planet,29.0497517,7.1170000,318.0000000,2.8467400,8208.0000000,4.2597900,1.8000000
Planet Candidate,31.8132264,11.2567164,11479.3755470,21.6314984,6028.8400000,3.9619900,1.9889300
Confirmed Planet,3.3088922,6.1140000,4736.0000000,24.9862000,6188.0000000,4.2716600,2.6200000
Confirmed Planet,25.0571312,7.5424225,533.4860130,3.2396838,5696.0000000,4.2656300,1.1528100
Confirmed Planet,24.2454967,3.3725583,6260.6703602,3.8785680,3535.0000000,4.8487400,0.4652710
Planet Candidate,14.2545623,4.7250029,7899.6939555,10.7048234,5739.0000000,4.2823500,1.0959700
Confirmed Planet,14.1758947,3.7543827,907.1324529,2.6231641,5723.8700000,4.4380000,0.8641730
Confirmed Planet,19.5901578,4.0028610,1182.6678641,3.0026428,5723.8700000,4.4380000,0.8641730
Confirmed Planet,6.2036219,3.0109800,548.9044399,2.0567480,5723.8700000,4.4380000,0.8641730
Confirmed Planet,3.7958900,2.4602856,317.5272928,1.5531350,5723.8700000,4.4380000,0.8641730
False Positive,2.2645386,3.8193701,15019.9420903,5.1936764,3443.0000000,4.8161700,0.4114710
Confirmed Planet,3.4447015,1.9120000,796.0000000,2.0049500,3912.0000000,4.6264200,0.6300000
Confirmed Planet,3.2947689,1.7483103,1324.0402774,2.5248559,3853.0000000,4.6316800,0.6232600
Confirmed Planet,0.7645807,1.0705700,394.9832006,1.2407226,3853.0000000,4.6316800,0.6232600
Confirmed Planet,12.6396982,3.3830702,3292.6812864,4.6025162,5217.0000000,4.5918600,0.7894250
Planet Candidate,1.8428078,1.4490000,1950.0000000,21.2705000,5080.0000000,4.4815900,4.0900000
Planet Candidate,4.7802597,1.4588658,1015.4550043,7.6126429,5826.0000000,3.7213000,2.3387201
Planet Candidate,0.3814849,0.5650000,570.0000000,2.0605000,4255.0000000,4.5564100,0.7100000
Planet Candidate,4.6595169,0.9011821,1725.1706259,2.1961507,3489.0000000,4.7455300,0.4907290
Confirmed Planet,6.4002807,2.1559875,1026.6018729,2.2730301,4599.0000000,4.5848700,0.7205510
Planet Candidate,4.8204512,1.7560000,1930.0000000,2.3674700,3692.0000000,4.7159800,0.5200000
Confirmed Planet,18.6548829,5.4431451,1495.4449473,4.3869878,5141.0000000,4.4914300,0.8761540
Confirmed Planet,4.3074513,2.3379196,1094.8419495,3.2819879,5141.0000000,4.4914300,0.8761540
Confirmed Planet,5.9041278,2.7678313,773.9266468,2.4489454,5141.0000000,4.4914300,0.8761540
Confirmed Planet,37.9251983,3.5345219,1370.7888539,3.2416430,5141.0000000,4.4914300,0.8761540
Confirmed Planet,15.9234883,4.0210000,493.0000000,2.1820300,5711.8500000,4.3831500,1.0800000
Confirmed Planet,4.3601536,2.3408909,5592.2909183,6.9564258,5227.0000000,4.5047900,0.8741310
Confirmed Planet,13.0791581,2.9700000,1143.0000000,3.2548500,5453.0000000,4.4170700,1.0000000
Confirmed Planet,4.6517186,2.7090000,978.0000000,2.6688900,5154.0000000,4.4707200,0.8500000
Confirmed Planet,9.1549418,2.4570000,1101.0000000,2.6201100,5154.0000000,4.4707200,0.8500000
Confirmed Planet,19.9815709,2.7240000,909.0000000,2.5471700,5154.0000000,4.4707200,0.8500000
Planet Candidate,,4.6235211,738.7670156,2.9700035,5154.0000000,4.4707200,0.8522660
Planet Candidate,5.9630544,2.9510000,11000.0000000,10.0859000,5273.0000000,4.4380000,0.9400000
Planet Candidate,1.1219715,0.8226121,3997.6445916,3.9968417,5780.0000000,4.6767200,0.6240000
False Positive,4.6756655,1.9140000,738.0000000,4.0313400,5779.0000000,4.8816200,1.4500000
Planet Candidate,1.0180114,1.1353639,2618.9492168,6.5875997,5451.0000000,4.3392300,1.0933000
Confirmed Planet,10.2888860,1.3910000,854.0000000,2.6388100,5126.0000000,4.4977200,0.8700000
False Positive,1.0332441,3.8017836,26111.5081972,4.0879880,2972.0000000,5.1574100,0.1561930
Planet Candidate,10.2613397,4.8550000,726.0000000,3.6039100,6124.0000000,4.1539100,1.4900000
Confirmed Planet,3.4779776,2.5103489,27021.6932424,12.5541925,4699.0000000,4.5463800,0.7650010
Confirmed Planet,3.1274634,1.9812695,1331.8369300,2.5802896,4225.0000000,4.5756000,0.6934310
Confirmed Planet,7.4931613,1.9339295,1650.6470497,2.7733674,4225.0000000,4.5756000,0.6934310
Confirmed Planet,49.8251660,3.8714976,2059.4069037,3.8319135,4225.0000000,4.5756000,0.6934310
Planet Candidate,18.0574016,3.5921770,1198.0572128,3.8092663,5897.0000000,4.4592200,1.0100000
Planet Candidate,20.8774413,3.5620000,771.0000000,2.1614500,5396.0000000,4.5045700,0.9000000
Planet Candidate,1.0214555,1.2520000,319.0000000,1.4626600,5098.0000000,4.5468200,0.8200000
Planet Candidate,2.7441672,1.4180000,5650.0000000,7.8431700,5040.0000000,4.3848200,0.9700000
Confirmed Planet,10.8948421,2.0719394,3168.3853584,2.4691414,3618.0000000,4.7943200,0.4356660
Confirmed Planet,18.8016111,1.9093524,1686.7881033,1.9112282,3618.0000000,4.7943200,0.4356660
Confirmed Planet,8.1577210,3.7880000,10273.0000000,9.3188800,5091.2000000,4.4700000,0.9000000
Confirmed Planet,4.2529641,2.5733867,758.5849990,2.3483383,5591.0000000,4.3811100,0.8489060
Planet Candidate,9.2378703,2.5350000,660.0000000,2.2299500,5591.0000000,4.3811100,0.8500000
Confirmed Planet,3.7955178,2.0198135,52278.9940979,10.3261619,3424.0000000,4.4380000,0.4453720
False Positive,14.3034613,3.1350000,48840.0000000,18.4949000,5056.6000000,4.5300000,0.8300000
Confirmed Planet,3.3159772,1.4940000,2770.0000000,4.5947000,4972.7000000,4.5400000,0.8100000
Confirmed Planet,4.6313014,1.4350000,4860.0000000,9.3484800,5736.0000000,4.3900000,1.0700000
